player_id,player_name,position,team,model_score,position_rank,recommendation
7523,"Trevor Lawrence",QB,JAX,82.9,1,START
8183,"Brock Purdy",QB,SF,78.5,2,START
421,"Matthew Stafford",QB,LAR,78.5,3,START
11563,"Bo Nix",QB,DEN,77.2,4,START
11564,"Drake Maye",QB,NE,75.7,5,START
4984,"Josh Allen",QB,BUF,75.5,6,START
4046,"Patrick Mahomes",QB,KC,73.9,7,START
6797,"Justin Herbert",QB,LAC,73,8,START
11560,"Caleb Williams",QB,CHI,71.5,9,START
3161,"Carson Wentz",QB,MIN,71.3,10,START
3294,"Dak Prescott",QB,DAL,71.3,11,START
3257,"Jacoby Brissett",QB,ARI,70.9,12,START
11566,"Jayden Daniels",QB,WAS,70.5,13,SIT
3163,"Jared Goff",QB,DET,69.8,14,SIT
6770,"Joe Burrow",QB,CIN,69.2,15,SIT
12545,"Tyler Shough",QB,NO,68.9,16,SIT
9758,"C.J. Stroud",QB,HOU,68.2,17,SIT
5849,"Kyler Murray",QB,MIN,67.9,18,SIT
6904,"Jalen Hurts",QB,PHI,67.6,19,SIT
9228,"Bryce Young",QB,CAR,67.3,20,SIT
4892,"Baker Mayfield",QB,TB,67.1,21,SIT
6804,"Jordan Love",QB,GB,66.3,22,SIT
5870,"Daniel Jones",QB,IND,64.1,23,SIT
12508,"Jaxson Dart",QB,NYG,64,24,SIT
96,"Aaron Rodgers",QB,PIT,62.7,25,SIT
12522,"Cam Ward",QB,TEN,61.6,26,SIT
7585,"Davis Mills",QB,HOU,61.2,27,SIT
1373,"Geno Smith",QB,NYJ,61.1,28,SIT
4881,"Lamar Jackson",QB,BAL,59.9,29,SIT
12524,"Shedeur Sanders",QB,CLE,58.2,30,SIT
11565,"J.J. McCarthy",QB,MIN,57.7,31,SIT
7591,"Justin Fields",QB,KC,57.4,32,SIT
2307,"Marcus Mariota",QB,WAS,56.9,33,SIT
1166,"Kirk Cousins",QB,LV,56.2,34,SIT
11562,"Spencer Rattler",QB,NO,55.9,35,SIT
4943,"Sam Darnold",QB,SEA,55.7,36,SIT
12538,"Brady Cook",QB,MIA,54.2,37,SIT
