player_id,player_name,position,team,opponent,offensive_play_caller,defensive_play_caller,play_caller_matchup_score,play_caller_historical_ppr,play_caller_sample_size,player_vs_defensive_caller_score,player_vs_defensive_caller_ppr,player_vs_defensive_caller_sample_size,model_score,position_rank,recommendation
7523,"Trevor Lawrence",QB,JAX,DEN,"Liam Coen","Vance Joseph",54,20.84,2,70,31.16,1,82.9,1,START
8183,"Brock Purdy",QB,SF,MIA,"Kyle Shanahan","Jeff Hafley",44,12.46,1,50,,0,78.5,2,START
421,"Matthew Stafford",QB,LA,NYG,"Sean McVay","Dennard Wilson",51,19.32,1,55,19.32,1,78.5,3,START
11563,"Bo Nix",QB,DEN,JAX,"Davis Webb","Anthony Campanile",50,,0,55,19.18,1,77.4,4,START
4046,"Patrick Mahomes",QB,KC,IND,"Andy Reid","Lou Anarumo",47,16.96,4,54,16.96,4,76.8,5,START
11564,"Drake Maye",QB,NE,PIT,"Josh McDaniels","Patrick Graham",50,17.78,1,53,17.78,1,75.7,6,START
4984,"Josh Allen",QB,BUF,DET,"Joe Brady","Kelvin Sheppard",50,,0,50,,0,75.5,7,START
6797,"Justin Herbert",QB,LAC,LV,"Mike McDaniel","Rob Leonard",50,,0,50,,0,73,8,START
11560,"Caleb Williams",QB,CHI,MIN,"Ben Johnson","Brian Flores",46,16.64,4,57,17.84,4,71.5,9,START
3161,"Carson Wentz",QB,MIN,CHI,"Kevin O'Connell","Dennis Allen",44,15.71,3,50,,0,71.3,10,START
3294,"Dak Prescott",QB,DAL,WAS,"Brian Schottenheimer","Daronte Jones",50,,0,50,,0,71.3,11,START
3257,"Jacoby Brissett",QB,ARI,SEA,"Mike LaFleur","Mike Macdonald",48,16.36,1,36,11.1,4,70.9,12,START
11566,"Jayden Daniels",QB,WAS,DAL,"David Blough","Christian Parker",50,,0,50,,0,70.5,13,SIT
3163,"Jared Goff",QB,DET,BUF,"Drew Petzing","Jim Leonhard",50,,0,50,,0,69.8,14,SIT
6770,"Joe Burrow",QB,CIN,HOU,"Zac Taylor","Matt Burke",50,,0,50,,0,69.2,15,SIT
12545,"Tyler Shough",QB,NO,BAL,"Kellen Moore","Jesse Minter",50,,0,50,,0,68.9,16,SIT
9758,"C.J. Stroud",QB,HOU,CIN,"Nick Caley","Al Golden",50,,0,50,,0,68.2,17,SIT
5849,"Kyler Murray",QB,MIN,CHI,"Kevin O'Connell","Dennis Allen",44,15.71,3,55,17.45,3,67.9,18,SIT
6904,"Jalen Hurts",QB,PHI,TEN,"Sean Mannion","Robert Saleh",50,,0,50,,0,67.6,19,SIT
